,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
76,266,1,Flybit,/labelicon/second/Flybit.png,1,,,,,,TRUE
77,269,1,Coinbase,,1,,,,,,TRUE
78,271,1,Switchain,,1,,,,,,TRUE
79,274,1,Chainx,/labelicon/second/Chainx.png,1,,,,,,TRUE
80,279,1,Binance Jex,,1,,,,,,TRUE
81,282,1,Eigen Fx,,1,,,,,,TRUE
82,290,1,Indoex,/labelicon/second/Indoex.png,1,,,,,,TRUE
83,299,1,Gemini,/labelicon/second/Gemini.png,1,,,,,,TRUE
84,303,1,Changelly,,1,,,,,,TRUE
85,305,1,Hotbit,/labelicon/second/Hotbit.png,1,,,,,,TRUE
86,310,1,Bgogo,,1,,,,,,TRUE
87,312,1,Nexo,,1,,,,,,TRUE
88,318,1,Hoo.com,,1,,,,,,TRUE
89,320,1,Cambochanger,,1,,,,,,TRUE
90,326,1,Catex Exchange,,1,,,,,,TRUE
91,332,1,Tidex,/labelicon/second/Tidex.png,1,,,,,,TRUE
92,334,1,Peatio,,1,,,,,,TRUE
93,341,1,Quantaex,,1,,,,,,TRUE
94,343,1,Blocktrades Exchange,,1,,,,,,TRUE
95,345,1,Whitebit,/labelicon/second/Whitebit.png,1,,,,,,TRUE
96,347,1,Arzpaya.com,,1,,,,,,TRUE
97,352,1,Abcc,/labelicon/second/Abcc.png,1,,,,,,TRUE
98,355,1,Shapeshift,,1,,,,,,TRUE
99,357,1,Coinexchange.io,,1,,,,,,TRUE
100,359,1,Bitci,/labelicon/second/Bitci.png,1,,,,,,TRUE
101,365,1,Ataix,/labelicon/second/Ataix.png,1,,,,,,TRUE
102,367,1,Kuna.io,,1,,,,,,TRUE
103,382,1,Bity.com,,1,,,,,,TRUE
104,384,1,Coinlist,,1,,,,,,TRUE
105,391,1,Topbtc,/labelicon/second/Topbtc.png,1,,,,,,TRUE
106,393,1,Idax.global,,1,,,,,,TRUE
107,399,1,Kryptono,,1,,,,,,TRUE
108,401,1,Alcumex Exchange,,1,,,,,,TRUE
109,403,1,Bitblinx,,1,,,,,,TRUE
110,409,1,Bit2c,,1,,,,,,TRUE
111,415,1,Nexbit Pro,,1,,,,,,TRUE
112,420,1,Bidesk,,1,,,,,,TRUE
113,426,1,Bitmax,,1,,,,,,TRUE
114,432,1,Omgfin Exchange,,1,,,,,,TRUE
115,435,1,Coss.io,,1,,,,,,TRUE
116,437,1,Crypto.com,,1,,,,,,TRUE
117,448,1,Beldex,,1,,,,,,TRUE
118,451,1,Fixedfloat,,1,,,,,,TRUE
119,454,1,Trade.io,,1,,,,,,TRUE
120,459,1,Coinw,/labelicon/second/Coinw.png,1,,,,,,TRUE
121,462,1,Bitfront,/labelicon/second/Bitfront.png,1,,,,,,TRUE
122,469,1,Gbx,,1,,,,,,TRUE
123,472,1,Tether,,1,,,,,,TRUE
124,478,1,Bitexlive,/labelicon/second/Bitexlive.png,1,,,,,,TRUE
125,481,1,Bitbee,,1,,,,,,TRUE
126,490,1,Remitano,,1,,,,,,TRUE
127,493,1,Crex24,/labelicon/second/Crex24.png,1,,,,,,TRUE
128,495,1,Aprobit,/labelicon/second/Aprobit.png,1,,,,,,TRUE
129,498,1,Bitebtc,,1,,,,,,TRUE
130,501,1,Flata.exchange,,1,,,,,,TRUE
131,503,1,Uex,,1,,,,,,TRUE
132,520,1,Coinmetro Exchange,,1,,,,,,TRUE
133,526,1,Exchange A,,1,,,,,,TRUE
134,532,1,Coindelta,,1,,,,,,TRUE
135,537,1,Sparrow Exchange,,1,,,,,,TRUE
136,539,1,Btc-alpha Exchange,,1,,,,,,TRUE
137,543,1,Bitpie,,1,,,,,,TRUE
138,547,1,Tagz,,1,,,,,,TRUE
139,560,1,Faa.st,,1,,,,,,TRUE
140,580,1,F2pool,,1,,,,,,TRUE
