,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
63,224,1,Ftx Exchange,,1,,,,,,True
64,226,1,Otcbtc,/labelicon/second/Otcbtc.png,1,,,,,,True
65,230,1,Yunbi,,1,,,,,,True
66,233,1,Cobinhood,/labelicon/second/Cobinhood.png,1,,,,,,True
67,235,1,Fcoin,/labelicon/second/Fcoin.png,1,,,,,,True
68,239,1,Dmex,,1,,,,,,True
69,246,1,Cryptopia,/labelicon/second/Cryptopia.png,1,,,,,,True
70,248,1,Bololex,/labelicon/second/Bololex.png,1,,,,,,True
71,251,1,Artis Turba Exchange,,1,,,,,,True
72,253,1,Paribu,/labelicon/second/Paribu.png,1,,,,,,True
73,255,1,Zb.com,/labelicon/second/Zb.com.png,1,,,,,,True
74,257,1,Ggbtc,,1,,,,,,True
75,260,1,Bitzlato,,1,,,,,,True
76,266,1,Flybit,/labelicon/second/Flybit.png,1,,,,,,True
77,269,1,Coinbase,,1,,,,,,True
78,271,1,Switchain,,1,,,,,,True
79,274,1,Chainx,/labelicon/second/Chainx.png,1,,,,,,True
80,279,1,Binance Jex,,1,,,,,,True
81,282,1,Eigen Fx,,1,,,,,,True
82,290,1,Indoex,/labelicon/second/Indoex.png,1,,,,,,True
83,299,1,Gemini,/labelicon/second/Gemini.png,1,,,,,,True
84,303,1,Changelly,,1,,,,,,True
85,305,1,Hotbit,/labelicon/second/Hotbit.png,1,,,,,,True
86,310,1,Bgogo,/labelicon/second/Bgogo.png,1,,,,,,True
87,312,1,Nexo,,1,,,,,,True
88,318,1,Hoo.com,,1,,,,,,True
89,320,1,Cambochanger,,1,,,,,,True
90,326,1,Catex Exchange,/labelicon/second/Catex.png,1,,,,,,True
91,332,1,Tidex,/labelicon/second/Tidex.png,1,,,,,,True
92,334,1,Peatio,,1,,,,,,True
93,341,1,Quantaex,/labelicon/second/Quantaex.png,1,,,,,,True
94,343,1,Blocktrades Exchange,,1,,,,,,True
95,345,1,Whitebit,/labelicon/second/Whitebit.png,1,,,,,,True
96,347,1,Arzpaya.com,,1,,,,,,True
97,352,1,Abcc,/labelicon/second/Abcc.png,1,,,,,,True
98,355,1,Shapeshift,,1,,,,,,True
99,357,1,Coinexchange.io,,1,,,,,,True
100,359,1,Bitci,/labelicon/second/Bitci.png,1,,,,,,True
101,365,1,Ataix,/labelicon/second/Ataix.png,1,,,,,,True
102,367,1,Kuna.io,,1,,,,,,True
103,382,1,Bity.com,,1,,,,,,True
104,384,1,Coinlist,/labelicon/second/Coinlist.png,1,,,,,,True
105,391,1,Topbtc,/labelicon/second/Topbtc.png,1,,,,,,True
106,393,1,Idax.global,,1,,,,,,True
107,399,1,Kryptono,/labelicon/second/Kryptono.png,1,,,,,,True
108,401,1,Alcumex Exchange,,1,,,,,,True
109,403,1,Bitblinx,/labelicon/second/Bitblinx.png,1,,,,,,True
110,409,1,Bit2c,/labelicon/second/Bit2c.png,1,,,,,,True
111,415,1,Nexbit Pro,,1,,,,,,True
112,420,1,Bidesk,/labelicon/second/Bidesk.png,1,,,,,,True
113,426,1,Bitmax,/labelicon/second/Bitmax.png,1,,,,,,True
114,432,1,Omgfin Exchange,/labelicon/second/Omgfin.png,1,,,,,,True
115,435,1,Coss.io,,1,,,,,,True
116,437,1,Crypto.com,,1,,,,,,True
117,448,1,Beldex,/labelicon/second/Beldex.png,1,,,,,,True
118,451,1,Fixedfloat,,1,,,,,,True
119,454,1,Trade.io,,1,,,,,,True
120,459,1,Coinw,/labelicon/second/Coinw.png,1,,,,,,True
121,462,1,Bitfront,/labelicon/second/Bitfront.png,1,,,,,,True
122,469,1,Gbx,,1,,,,,,True
123,472,1,Tether,,1,,,,,,True
124,478,1,Bitexlive,/labelicon/second/Bitexlive.png,1,,,,,,True
125,481,1,Bitbee,,1,,,,,,True
126,490,1,Remitano,/labelicon/second/Remitano.png,1,,,,,,True
127,493,1,Crex24,/labelicon/second/Crex24.png,1,,,,,,True
128,495,1,Aprobit,/labelicon/second/Aprobit.png,1,,,,,,True
129,498,1,Bitebtc,/labelicon/second/Bitebtc.png,1,,,,,,True
130,501,1,Flata.exchange,/labelicon/second/Flata.exchange.png,1,,,,,,True
131,503,1,Uex,/labelicon/second/Uex.png,1,,,,,,True
132,520,1,Coinmetro Exchange,/labelicon/second/Coinmetro.png,1,,,,,,True
133,526,1,Exchange A,,1,,,,,,True
134,532,1,Coindelta,,1,,,,,,True
135,537,1,Sparrow Exchange,/labelicon/second/Sparrow.png,1,,,,,,True
136,539,1,Btc-alpha Exchange,/labelicon/second/Btc-alpha.png,1,,,,,,True
137,543,1,Bitpie,,1,,,,,,True
138,547,1,Tagz,/labelicon/second/Tagz.png,1,,,,,,True
139,560,1,Faa.st,,1,,,,,,True
140,580,1,F2pool,,1,,,,,,True
141,586,1,Digifinex,/labelicon/second/Digifinex.png,1,,,,,,True
142,591,1,Gate.io,/labelicon/second/Gate.io.png,1,,,,,,True
143,605,1,Binance Us,,1,,,,,,True
144,607,1,Vinex,,1,,,,,,True
145,612,1,Bw.com,/labelicon/second/Bw.com.png,1,,,,,,True
146,618,1,Panda.exchange,,1,,,,,,True
147,630,1,Streamity,,1,,,,,,True
148,634,1,Yobit.net,,1,,,,,,True
149,638,1,Coinhako,/labelicon/second/Coinhako.png,1,,,,,,True
150,643,1,Folgory Exchange,/labelicon/second/Folgory.png,1,,,,,,True
151,650,1,Bit-z,/labelicon/second/Bit-z.png,1,,,,,,True
152,666,1,Exmo,/labelicon/second/Exmo.png,1,,,,,,True
153,680,1,Eidoo,,1,,,,,,True
154,685,1,Eterbase,/labelicon/second/Eterbase.png,1,,,,,,True
155,709,1,Beaxy,/labelicon/second/Beaxy.png,1,,,,,,True
156,721,1,Bitso,/labelicon/second/Bitso.png,1,,,,,,True
157,776,1,Coinmotion,,1,,,,,,True
158,788,1,Xapo,,1,,,,,,True
